"customer_excel","rows","rank","score","customer_id","custcd","customer_name","matched_via","ctry","city","bill_to","so_orders","last_so","geo","verdict"
"AGAPE","30","1","100","222","815","AGAPE","AGAPE","MO","","Y","49","2026-08-12","","AUTO"
"AGAPE","30","2","100","595","1099","AGAPE","AGAPE","MO","","Y","1","2022-10-27","",""
"AGAPE","30","3","60","686","1181","Acundis Ag","Acundis Ag","SW","","Y","36","2026-07-24","",""
"Acundis","28","1","97","686","1181","Acundis Ag","Acundis Ag","SW","","Y","36","2026-07-24","","AUTO"
"Acundis","28","2","97","139","138","Acundis Ltd.","Acundis Ltd.","SW","","Y","3","2021-05-05","",""
"Acundis","28","3","87.3","687","1182","Acundis Textile (Qingdao) Co., Ltd.","Acundis Textile (Qingdao) Co., Ltd.","CH","","Y","4","2025-08-06","",""
"Savage","26","1","87.3","346","936","SAVAGE X FENTY","SAVAGE X FENTY","US","","Y","17","2023-10-11","","LIKELY"
"Savage","26","2","60","14","013","sample","sample","TH","","Y","1036","2026-09-01","",""
"Savage","26","3","60","176","769","stock","stock","TH","","Y","712","2026-06-17","",""
"Prima Lace","26","1","97","51","050","Prima Lace Co., Ltd. (Head Office)","Prima Lace Co., Ltd. (Head Office)","TH","","Y","40","2026-07-07","","AUTO"
"Prima Lace","26","2","44.4","361","944","Ray Lace","Ray Lace","CH","-","Y","1","2018-09-28","",""
"Prima Lace","26","3","37","15","014","Thai Lace Manufacturing Co.,Ltd. (Head office)","Thai Lace Manufacturing Co.,Ltd. (Head office)","TH","","Y","46","2024-09-07","",""
"Chief You","23","1","97","289","879","Chief You Corp","Chief You Corp","TW","","Y","51","2026-07-31","","AUTO"
"Chief You","23","2","97","683","1178","CHIEF YOU CORPORATION","CHIEF YOU CORPORATION","TW","TAINAN CITY","Y","3","2026-01-07","",""
"Chief You","23","3","27.8","112","111","Groupe chantelle","Groupe chantelle","FR","","Y","1","2015-08-26","",""
"P.B.S.E","22","1","100","170","763","P.B.S.E","P.B.S.E","FR","","Y","134","2026-08-03","","AUTO"
"P.B.S.E","22","2","65","7","006","P.H. Garment Mfg.Co.,Ltd.","P.H. Garment Mfg.Co.,Ltd.","HK","","Y","650","2024-07-17","",""
"P.B.S.E","22","3","65","730","1223","P.H. Garment Mfg.Co.,Ltd.","P.H. Garment Mfg.Co.,Ltd.","HK","Kowloon","Y","11","2024-08-29","",""
"Hanes Global","21","1","88","247","837","HANES GLOBAL SUPPLY CHAIN PHILIPPINES, INC.","HANES GLOBAL SUPPLY CHAIN PHILIPPINES, INC.","PH","","Y","141","2020-09-04","","LIKELY"
"Hanes Global","21","2","70","425","981","Hanes France SAS","Hanes France SAS","FR","","Y","26","2021-06-10","",""
"Hanes Global","21","3","65","517","1029","PT HANES SUPPLY CHAIN INDONESIA","PT HANES SUPPLY CHAIN INDONESIA","IA","","Y","113","2023-03-23","",""
"Obsidian","18","1","89","95","094","Obsidian HK Limited","Obsidian HK Limited","HK","","Y","26","2025-03-31","","LIKELY"
"Obsidian","18","2","60","715","1210","Ossidiana SARL","Ossidiana SARL","FR","Lyon","Y","1","2024-06-26","",""
"Obsidian","18","3","60","716","1211","OSSIDIANA SARL","OSSIDIANA SARL","FR","Lyon","N","0","","",""
"Infinity Asia","18","1","97","779","1268","Infinity Asia Group Ltd","Infinity Asia Group Ltd","HK","","Y","1","2025-07-26","","AUTO"
"Infinity Asia","18","2","37","54","053","Intimate Fashion Co.,Ltd","Intimate Fashion Co.,Ltd","TH","","Y","17","2019-05-23","",""
"Infinity Asia","18","3","32.3","156","749","Chantasia Co.,Ltd. (Head Office)","Chantasia","TH","","Y","1732","2026-09-04","",""
"Liberty Vietnam","15","1","79","550","1059","LIBERTY LACE CO., LTD.","LIBERTY LACE CO., LTD.","VN","Dong Nai","Y","1","2021-05-10","ctry+","REVIEW"
"Liberty Vietnam","15","2","63","217","810","Liberty Tex Co.,Ltd.","Liberty Tex Co.,Ltd.","TW","","Y","12","2026-04-24","ctry-",""
"Liberty Vietnam","15","3","47.9","522","1034","Hanesbrands Vietnam Co., Ltd.","Hanesbrands Vietnam Co., Ltd.","VN","","Y","83","2023-03-23","ctry+",""
"Cerie ","15","1","89","298","888","Cerie International Limited.","Cerie International Limited.","HK","N.T.","Y","20","2026-09-01","","LIKELY"
"Cerie ","15","2","60","156","749","Chantasia Co.,Ltd. (Head Office)","Chantasia Co.,Ltd. (Head Office)","TH","","Y","1732","2026-09-04","",""
"Cerie ","15","3","60","147","146","Chantelle","Chantelle","FR","","Y","26","2025-02-15","",""
"GLAMORISE","14","1","89","24","023","Glamorise Foundations Inc.","Glamorise Foundations Inc.","US","","Y","415","2026-09-02","","LIKELY"
"GLAMORISE","14","2","60","93","092","Gamma Industries Co.,Ltd. (Head Office)","Gamma Industries Co.,Ltd. (Head Office)","TH","","Y","283","2026-09-05","",""
"GLAMORISE","14","3","60","633","1132","UNIVERSAL LINGERIE SOURCING LTD","garment","HK","","Y","11","2026-05-01","",""
