Agent Provocateur	100	11	Date | MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
Agent Provocateur	115	11	Date | MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
AGAPE	2	11	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE | All colors | REMARKS
AGAPE	9	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors
AGAPE	20	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
AGAPE	28	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
AGAPE	36	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
ANITA_Thailand & Germany 	4	10	USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	5	4	Qty | Article | PFE/PFD | White | Light | Medium | Dark | PFE/PFD | White | Light | Medium | Dark
ANITA_Thailand & Germany 	11	11	Price valid 01.11.2012 - 31.12.2015 | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	12	4	Qty | Article | PFE/PFD | White | Light | Medium | Dark | PFE/PFD | White | Light | Medium | Dark
ANITA_Thailand & Germany 	18	5	Quoted Price by K. Sivy line on 01.10.2018 | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB
ANITA_Thailand & Germany 	19	4	Qty | Article | PFE/PFD | All colors
ANITA_Thailand & Germany 	24	7	Quoted Price by K. Sivy on 20.12.2022 | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	26	6	Qty | Article | PFE/PFD | All colors | PFD/PFE | All colors
ANITA_Thailand & Germany 	34	11	Price valid 01.11.2012 - 31.12.2015 | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	35	6	Qty | Article | PFE/PFD | All colors | PFE/PFD | All colors
ANITA_Thailand & Germany 	39	10	UPDATED : 26.11.21 by K.Sivy @ Asoke office | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	40	6	Qty | Article | PFE/PFD | All colors | PFE/PFD | All colors
ANITA_Thailand & Germany 	47	11	Price valid 01.11.2012 - 31.12.2015 | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	48	6	Qty | Article | PFE/PFD | All colors | PFE/PFD | All colors
ANITA_Thailand & Germany 	54	10	USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | USD per meter / FOB | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP | THB per meter exclude Vat/ DDP
ANITA_Thailand & Germany 	55	6	Qty | Article | PFE/PFD | All colors | PFE/PFD | All colors
ANITA_Thailand & Germany 	83	4	Qty | Article | All colors | All colors
ANITA_Thailand & Germany 	90	4	Qty | Article | All colors | All colors
ANITA_Thailand & Germany 	97	4	Qty | Article | All colors | All colors
ANITA_Thailand & Germany 	104	5	MOQ | Qty per color | Article | All colors | All colors
ANITA_Thailand & Germany 	111	5	MOQ | Qty per color | Article | All colors | All colors
ANITA_Thailand & Germany 	117	5	MOQ | Qty per color | Article | All colors | All colors
ANITA_Thailand & Germany 	121	5	MOQ | Qty per color | Article | All colors | All colors
ANITA_Thailand & Germany 	127	5	MOQ | Qty per color | Article | All colors | All colors
ANITA_Thailand & Germany 	134	7	MOQ | Qty | Article | Composition | Width (cm) /              Weight (gsm2) | Width (cm) /              Weight (gsm2) | All colors
ANITA_Thailand & Germany 	145	9	Article | Composition | Full Width | Useable Width | Weight | MOQ | Qty per color | PFE/PFD | All colors
ANITA_Thailand & Germany 	153	8	Article | Composition | Full Width | Useable Width | Weight | MOQ | Qty per color | All colors
ANITA_Thailand & Germany 	161	9	Article | Composition | Full Width | Useable Width | Weight | MOQ | Qty per color | PFD | All colors
ANITA_Thailand & Germany 	168	9	Article | Composition | Full Width | Useable Width | Weight | MOQ | Qty per color | USD | THB
ANITA_Thailand & Germany 	176	5	Eschler Design : | Composition | Finishing | Weight | Full Width | Usable width | Ref. | Structure | Collection
ANITA_Thailand & Germany 	177	7	Eschler Design : | Composition | Finishing | Weight | Full Width | Usable width | Ref. | Structure | Collection | Qty per color | All color (USD/M)
ANITA_Thailand & Germany 	178	7	Eschler Design : | Composition | Finishing | Weight | Full Width | Usable width | Ref. | Structure | Collection | Qty per color | All color (USD/M)
ANITA_Thailand & Germany 	204	6	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M)
ANITA_Thailand & Germany 	208	11	Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All colors (THB/Mtr) | All colors (USD/Mtr) | REMARK
ANITA_Thailand & Germany 	213	11	Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All colors (THB/Mtr) | All colors (USD/Mtr) | REMARK
ANITA_Thailand & Germany 	219	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	224	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	228	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	231	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	235	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	239	7	Article | composition | width(CM) Full | Usable widht (CM) | weight(g/ms2) | MOQ/M | MCQ/M | Price all color(baht/M) | Price all color(US$/M)
ANITA_Thailand & Germany 	243	12	Date | Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All colors (THB/Mtr) | Valid price | REMARK
ANITA_Thailand & Germany 	249	12	Date | Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All color (USD/M) | All colors (THB/Mtr) | Valid price
ANITA_Thailand & Germany 	256	12	Date | Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All color (USD/M) | All colors (THB/Mtr) | Valid price
ANITA_Thailand & Germany 	260	12	Date | Article | Fabric name | Composition | Full Width   (cm.) | Useable Width   (cm.) | Weight   (g/m2) | MOQ (Mtrs) | Qty per color (Mtrs) | All color (USD/M) | All colors (THB/Mtr) | Remark
Asia Creative	5	6	Article | compositon | Full width(CM) | Usable withd(CM) | weight(gsm) | MOQ(M) | MCQ(M) | Price/M.
Aronne Faccio	33	6	Qty per color | Article | Fabric name | Composition | Width | Weight | White | Light | Medium | Dark
Aronne Faccio	52	3	Date of inquiry: | Date of inquiry: | Date of inquiry:
Aronne Faccio	57	9	Qty per color | Article | Fabric name | Composition | Usable Width | Weight | PFE/PFD | PFE/PFD | All colors
Aronne Faccio	66	6	Qty per color | Article | Fabric name | Composition | Usable Width | Weight | White | White | Light | Medium | Medium | Dark
Aronne Faccio	77	6	Qty per color | Article | Fabric name | Composition | Usable Width | Weight | White | White | Light | Medium | Medium | Dark
Aronne Faccio	100	8	MOQ | Qty per color | Article | Fabric name | Composition | Useable Width | Weight | All colors
Aronne Faccio	101	8	MOQ | Qty per color | Article | Fabric name | Composition | Useable Width | Weight | USD/ m
Aronne Faccio	108	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors
Aronne Faccio	109	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | USD/ m
Audrey Thailand	6	3	Price : THB/meter exclude VAT 7% | Price : THB/meter exclude VAT 7% | Price : THB/meter exclude VAT 7%
Audrey Thailand	7	7	MOQ | QTY per color | Article | composition | weight | width | All Colors (THB/m)
Ateliers	2	11	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors | Remarks
Ausco	1	9	WEIGHT | FULL | USEABLE | CUSTOMER | CUSTOMER | PRICE | THB/M | THB/M | THB/M | THB/M | THB/M | THB/M | THB/M | US$/M | US$/M | US$/M | US$/M | US$/M | US$/M | US$/M
