sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark,block_note
CENTER PRICE USD for internal,24,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,4.83,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,24,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,125,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,24,14,251166,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",150 - 155 cm.,145 - 150 cm.,145 - 160 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,145,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,26,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,4.67,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,26,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,5.50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,26,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,140,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,26,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.",200-600m.,200,600,All_colors,THB,165,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,27,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,4.33,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,27,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,5.17,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,27,14,251168,ELASTIC CHARMEUSE,"72% PA, 28% ELASTANE",153 - 158 cm.,148 - 153 cm.,125 - 135 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,130,,,DATE : 4th Mar 2020
