1		Date : 26th July 2023										
3		Price : FOB Bangkok USD/meter										
93	18/11/2024	257202AA/42	100% PA		32 - 36	167-178	163-174	3,000	350-600	$1.78	$2.35	
94	18/11/2024	257202AA/42							601-2000	$1.42	$1.89	
95	18/11/2024	257202AA/42							2001-5000	$1.35	$1.80	
96	21/11/2024	257206AA/14	100% PA		38-42	145-155	140-150	3,000	200-599	$2.65	$3.95	
97	21/11/2024	257206AA/14							600-1999	$2.10	$3.15	
98	21/11/2024	257206AA/14							2000-4999	$2.00	$3.00	
99	21/11/2024	W7LF001-1A/14	100% PES		25-30	155-165	150-160	3,000	200-599	$2.65	$3.95	Wider width than 257206
100	21/11/2024	W7LF001-1A/14	(VERSION PES OF 257206)						600-1999	$2.10	$3.15	Smaller yarn than PA, output less bcs cannot speed but look it's lighter and thin, can be emb piece dye (pes 30/6 yarn price higher as it's suitable for emb)
101	21/11/2024	W7LF001-1A/14							2000-4999	$2.00	$3.00	
102	9/1/2025	Original sample	93% PA, 7% PU		78	155		3,000		$1.95		Only informed khun Peter to show customer at fair
103		received from Khun Peter										
104		Ref.CDR.090/24										
105	9/1/2025	255572AA			60	200		3,000		$2.85	-	Only informed khun Peter to show customer at fair
106		Offering quality (25572AA/12_GMK#PUG-4040AA/12)										
107	15/7/2025	257247	100% PA Recycled	Invisible Tulle Bright	12-16 g/m2	155-165 cm.	150-160 cm.	3,000 m.	600 m.	$2.21		Same Chief you (add 10 cent from 255484)
108		Recycled version of 255484							601-2,000 m.	$1.87		
109									2,001-5,000 m.	$1.80		
111	15/7/2025	255730	100% PES Recycled	Recycled PES Tulle	30-35 g/m2	155-165 cm.	150-160 cm	3,000 m.	600 m.	$1.75		
112		Recycled tulle 100% PES tulle 254555							601-2,000 m.	$1.50		
113									2,001-5,000 m.	$1.35		
115	25/7/2025	254763	84% PA, 16% Elastance		40-45 g/m2	150-155 cm.	145-150 cm.	3,000 m.	1,000 m.	$ 3.20	$ 3.80	Color $3.80/m for Stock only
116		Elastic Tulle Puntino							3,000 m.	$ 2.90		
117									5,000 m.	$ 2.65		
119	25/7/2025	254740	100% PES		30-35 g/m2	153-158 cm.	148-153 cm.	3,000 m.	1,000 m.	$ 2.50		
120		Pes Tulle Punto							2,000 m.	$ 2.25		
121									5,000 m.	$ 2.05		
122	8/12/0205											
131	26/12/2025	257137AA/11	47% PA, 34% Cotfton Prima, 20% ELASTANE	COTTY MESH TWO TM SOFT	85 g/m2	180 cm.	175 cm.	3,000 m	500 m.	$8.00		
132		(GMK no. PRG-4045AA/11)										
134	5/22/2023	255554	79% PA, 21% ELASTANE									
