sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark
Acundis,77,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",200-599,200,599,PFE/PFD,USD,2.65,21/11/2024,
Acundis,77,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",200-599,200,599,All_colors,USD,3.95,21/11/2024,
Acundis,78,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",600-1999,600,1999,PFE/PFD,USD,2.10,21/11/2024,
Acundis,78,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",600-1999,600,1999,All_colors,USD,3.15,21/11/2024,
Acundis,79,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",2000-4999,2000,4999,PFE/PFD,USD,2.00,21/11/2024,
Acundis,79,74,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",2000-4999,2000,4999,All_colors,USD,3.00,21/11/2024,
Acundis,87,84,257373AA/11,,"79% Pre-consumer Recycled Polyamide, 21% Elastane",155-165,150-160,28-32,"3,000",300-600,300,600,PFE/PFD,USD,2.40,20/10/2024,K.Sivy's Line : add 10 cents/step from 255554
Acundis,87,84,257373AA/11,,"79% Pre-consumer Recycled Polyamide, 21% Elastane",155-165,150-160,28-32,"3,000",300-600,300,600,All_colors,USD,3.00,20/10/2024,K.Sivy's Line : add 10 cents/step from 255554
Acundis,88,84,257373AA/11,,Recycled version of Invisible 255554 (Develop Recycled version for ETAM),155-165,150-160,28-32,"3,000",601-2000,601,2000,PFE/PFD,USD,2.20,20/10/2024,
Acundis,88,84,257373AA/11,,Recycled version of Invisible 255554 (Develop Recycled version for ETAM),155-165,150-160,28-32,"3,000",601-2000,601,2000,All_colors,USD,2.65,20/10/2024,
Acundis,89,84,257373AA/11,,Recycled version of Invisible 255554 (Develop Recycled version for ETAM),155-165,150-160,28-32,"3,000",2001-5000,2001,5000,PFE/PFD,USD,2.05,20/10/2024,
Acundis,89,84,257373AA/11,,Recycled version of Invisible 255554 (Develop Recycled version for ETAM),155-165,150-160,28-32,"3,000",2001-5000,2001,5000,All_colors,USD,2.50,20/10/2024,
Acundis,90,84,257200,,100% PA,160-170,155-165,14-19,"3,000",200-600,200,600,PFE/PFD,USD,2.26,22/10/2024,K.Sivy's Line : add 15 cents/step from 255484
Acundis,91,84,257200,,100% PA,160-170,155-165,14-19,"3,000",601 - 2000,601,2000,PFE/PFD,USD,1.92,22/10/2024,
Acundis,92,84,257200,,100% PA,160-170,155-165,14-19,"3,000",2001 - 5000,2001,5000,PFE/PFD,USD,1.85,22/10/2024,
Acundis,93,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",350-600,350,600,PFE/PFD,USD,1.78,18/11/2024,
Acundis,93,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",350-600,350,600,All_colors,USD,2.35,18/11/2024,
Acundis,94,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",601-2000,601,2000,PFE/PFD,USD,1.42,18/11/2024,
Acundis,94,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",601-2000,601,2000,All_colors,USD,1.89,18/11/2024,
Acundis,95,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",2001-5000,2001,5000,PFE/PFD,USD,1.35,18/11/2024,
Acundis,95,84,257202AA/42,,100% PA,167-178,163-174,32 - 36,"3,000",2001-5000,2001,5000,All_colors,USD,1.80,18/11/2024,
Acundis,96,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",200-599,200,599,PFE/PFD,USD,2.65,21/11/2024,
Acundis,96,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",200-599,200,599,All_colors,USD,3.95,21/11/2024,
Acundis,97,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",600-1999,600,1999,PFE/PFD,USD,2.10,21/11/2024,
Acundis,97,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",600-1999,600,1999,All_colors,USD,3.15,21/11/2024,
Acundis,98,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",2000-4999,2000,4999,PFE/PFD,USD,2.00,21/11/2024,
Acundis,98,84,257206AA/14,,100% PA,145-155,140-150,38-42,"3,000",2000-4999,2000,4999,All_colors,USD,3.00,21/11/2024,
Acundis,99,84,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",200-599,200,599,PFE/PFD,USD,2.65,21/11/2024,Wider width than 257206
Acundis,99,84,W7LF001-1A/14,,100% PES,155-165,150-160,25-30,"3,000",200-599,200,599,All_colors,USD,3.95,21/11/2024,Wider width than 257206
Acundis,100,84,W7LF001-1A/14,,(VERSION PES OF 257206),155-165,150-160,25-30,"3,000",600-1999,600,1999,PFE/PFD,USD,2.10,21/11/2024,"Smaller yarn than PA, output less bcs cannot speed but look it's lighter and thin, can be emb piece dye (pes 30/6 yarn price higher as it's suitable for emb)"
Acundis,100,84,W7LF001-1A/14,,(VERSION PES OF 257206),155-165,150-160,25-30,"3,000",600-1999,600,1999,All_colors,USD,3.15,21/11/2024,"Smaller yarn than PA, output less bcs cannot speed but look it's lighter and thin, can be emb piece dye (pes 30/6 yarn price higher as it's suitable for emb)"
Acundis,101,84,W7LF001-1A/14,,(VERSION PES OF 257206),155-165,150-160,25-30,"3,000",2000-4999,2000,4999,PFE/PFD,USD,2.00,21/11/2024,
Acundis,101,84,W7LF001-1A/14,,(VERSION PES OF 257206),155-165,150-160,25-30,"3,000",2000-4999,2000,4999,All_colors,USD,3.00,21/11/2024,
Acundis,102,84,W7LF001-1A/14,,"93% PA, 7% PU",155,150-160,78,"3,000",,3000,,PFE/PFD,USD,1.95,9/1/2025,Only informed khun Peter to show customer at fair
Acundis,105,84,255572AA,,"93% PA, 7% PU",200,150-160,60,"3,000",,3000,,PFE/PFD,USD,2.85,9/1/2025,Only informed khun Peter to show customer at fair
Acundis,107,84,257247,Invisible Tulle Bright,100% PA Recycled,155-165 cm.,150-160 cm.,12-16 g/m2,"3,000 m.",600 m.,600,,PFE/PFD,USD,2.21,15/7/2025,Same Chief you (add 10 cent from 255484)
Acundis,108,84,257247,Invisible Tulle Bright,100% PA Recycled,155-165 cm.,150-160 cm.,12-16 g/m2,"3,000 m.","601-2,000 m.",601,2000,PFE/PFD,USD,1.87,15/7/2025,
Acundis,109,84,257247,Invisible Tulle Bright,100% PA Recycled,155-165 cm.,150-160 cm.,12-16 g/m2,"3,000 m.","2,001-5,000 m.",2001,5000,PFE/PFD,USD,1.80,15/7/2025,
Acundis,111,84,255730,Recycled PES Tulle,100% PES Recycled,155-165 cm.,150-160 cm,30-35 g/m2,"3,000 m.",600 m.,600,,PFE/PFD,USD,1.75,15/7/2025,
Acundis,112,84,255730,Recycled PES Tulle,100% PES Recycled,155-165 cm.,150-160 cm,30-35 g/m2,"3,000 m.","601-2,000 m.",601,2000,PFE/PFD,USD,1.50,15/7/2025,
Acundis,113,84,255730,Recycled PES Tulle,100% PES Recycled,155-165 cm.,150-160 cm,30-35 g/m2,"3,000 m.","2,001-5,000 m.",2001,5000,PFE/PFD,USD,1.35,15/7/2025,
Acundis,115,84,254763,Recycled PES Tulle,"84% PA, 16% Elastance",150-155 cm.,145-150 cm.,40-45 g/m2,"3,000 m.","1,000 m.",1000,,PFE/PFD,USD,3.20,25/7/2025,Color $3.80/m for Stock only
Acundis,115,84,254763,Recycled PES Tulle,"84% PA, 16% Elastance",150-155 cm.,145-150 cm.,40-45 g/m2,"3,000 m.","1,000 m.",1000,,All_colors,USD,3.80,25/7/2025,Color $3.80/m for Stock only
Acundis,116,84,254763,Recycled PES Tulle,"84% PA, 16% Elastance",150-155 cm.,145-150 cm.,40-45 g/m2,"3,000 m.","3,000 m.",3000,,PFE/PFD,USD,2.90,25/7/2025,
Acundis,117,84,254763,Recycled PES Tulle,"84% PA, 16% Elastance",150-155 cm.,145-150 cm.,40-45 g/m2,"3,000 m.","5,000 m.",5000,,PFE/PFD,USD,2.65,25/7/2025,
Acundis,119,84,254740,Recycled PES Tulle,100% PES,153-158 cm.,148-153 cm.,30-35 g/m2,"3,000 m.","1,000 m.",1000,,PFE/PFD,USD,2.50,25/7/2025,
Acundis,120,84,254740,Recycled PES Tulle,100% PES,153-158 cm.,148-153 cm.,30-35 g/m2,"3,000 m.","2,000 m.",2000,,PFE/PFD,USD,2.25,25/7/2025,
Acundis,121,84,254740,Recycled PES Tulle,100% PES,153-158 cm.,148-153 cm.,30-35 g/m2,"3,000 m.","5,000 m.",5000,,PFE/PFD,USD,2.05,25/7/2025,
